b_range,S,energy_mev,radius_fm,prob_bare,prob_dressed
2.25,33.00335073994093,-3.7420431,1.80892507,0.9652637,0.0347363
2.25,33.44779518438537,-4.15676585,1.75664757,0.96316158,0.03683842
2.27,29.158390346909314,-1.13295416,2.68447521,0.98202045,0.01797955
2.27,29.602834791353757,-1.38439227,2.52936498,0.97997667,0.02002333
2.27,30.047279235798204,-1.65351101,2.3591751,0.97794601,0.02205399
2.27,30.491723680242647,-1.9449912,2.22404721,0.97594245,0.02405755
2.27,30.88086479854344,-2.22336599,2.13192743,0.97408638,0.02591362
2.27,30.936168124687093,-2.26365172,2.12145868,0.9738222,0.0261778
2.27,31.380612569131536,-2.59686658,2.02605654,0.97178267,0.02821733
2.27,31.825057013575982,-2.95685349,1.94668135,0.96967592,0.03032408
2.27,32.26950145802043,-3.33002233,1.87828293,0.96762694,0.03237306
2.27,32.71394590246487,-3.72809642,1.81640694,0.9655444,0.0344556
2.27,33.158390346909314,-4.15068626,1.76208731,0.96339022,0.03660978
2.3,28.88086479854344,-1.20369381,2.64756653,0.98159811,0.01840189
2.3,29.325309242987885,-1.45727181,2.46992475,0.97957069,0.02042931
2.3,29.769753687432328,-1.73804772,2.32153764,0.97753407,0.02246593
2.3,30.214198131876774,-2.03358218,2.20044461,0.9755351,0.0244649
2.3,30.47463765143859,-2.22186847,2.14097281,0.974316,0.025684
2.3,30.658642576321217,-2.35853341,2.09826814,0.97343659,0.02656341
2.3,31.103087020765663,-2.69946334,2.00787077,0.97141309,0.02858691
2.3,31.547531465210106,-3.06299322,1.93131118,0.96932766,0.03067234
2.3,31.991975909654553,-3.4427764,1.8635471,0.96728358,0.03271642
2.3,32.436420354099,-3.84946164,1.80636322,0.96518224,0.03481776
2.3,32.88086479854344,-4.28038039,1.75188252,0.9630374,0.0369626
2.4,28.47463765143859,-1.71361232,2.35818741,0.97830679,0.02169321
2.4,28.919082095883034,-2.00850393,2.23228316,0.97636494,0.02363506
2.4,29.207442554260616,-2.22065073,2.15890625,0.97498987,0.02501013
2.4,29.36352654032748,-2.34064389,2.12572967,0.97424599,0.02575401
2.4,29.807970984771924,-2.68253803,2.03417528,0.97223895,0.02776105
