r_fm,psi_abs,asymptotic_form,ratio_psi_to_asymptotic
4.3984,0.02191210242,0.3608493387,0.06072368734
4.4382,0.02151597542,0.3575364048,0.06017841857
4.478,0.0211286973,0.3542538867,0.05964281013
4.5178,0.02074998759,0.3510015053,0.05911652025
4.5576,0.02037957879,0.3477789837,0.05859922463
4.5974,0.02001721577,0.3445860479,0.05809061595
4.6372,0.01966265528,0.3414224262,0.05759040348
4.677,0.01931566535,0.3382878495,0.05709831252
4.7168,0.01897602474,0.3351820511,0.05661408382
4.7566,0.0186435224,0.3321047669,0.05613747305
4.7964,0.01831795696,0.3290557351,0.05566825011
4.8362,0.01799913616,0.3260346961,0.05520619854
4.876,0.01768687642,0.3230413932,0.05475111484
4.9158,0.01738100225,0.3200755716,0.05430280783
4.9556,0.01708134589,0.3171369789,0.05386109795
4.9954,0.01678774675,0.3142253653,0.05342581664
5.0352,0.01650005108,0.3113404831,0.05299680566
5.075,0.01621811144,0.3084820867,0.05257391642
5.1148,0.01594178643,0.3056499331,0.05215700939
5.1546,0.0156709402,0.3028437813,0.05174595342
5.1944,0.01540544217,0.3000633926,0.0513406252
5.2342,0.01514516668,0.2973085305,0.05094090861
5.274,0.01488999264,0.2945789605,0.05054669422
5.3138,0.01463980329,0.2918744506,0.05015787869
5.3536,0.01439448586,0.2891947706,0.04977436428
5.3934,0.01415393138,0.2865396926,0.04939605836
5.4332,0.01391803437,0.2839089906,0.04902287292
5.473,0.01368669267,0.281302441,0.04865472415
5.5128,0.0134598072,0.2787198219,0.04829153202
5.5526,0.01323728179,0.2761609137,0.04793321986
5.5924,0.01301902297,0.2736254986,0.04757971402
5.6322,0.01280493985,0.271113361,0.04723094353
5.672,0.01259494391,0.2686242872,0.04688683976
5.7118,0.01238894894,0.2661580654,0.04654733615
5.7516,0.01218687085,0.2637144859,0.04621236792
5.7914,0.01198862757,0.2612933406,0.04588187184
5.8312,0.01179413896,0.2588944238,0.04555578599
5.871,0.01160332673,0.2565175312,0.0452340496
5.9108,0.01141611429,0.2541624607,0.04491660278
5.9506,0.01123242674,0.251829012,0.04460338643
5.9904,0.01105219076,0.2495169865,0.0442943421
6.0302,0.01087533457,0.2472261876,0.04398941178
6.07,0.01070178785,0.2449564204,0.04368853789
6.1098,0.01053148171,0.2427074917,0.0433916631
6.1496,0.01036434863,0.2404792103,0.0430987303
6.1894,0.01020032241,0.2382713866,0.04280968252
6.2292,0.01003933818,0.2360838327,0.04252446287
6.269,0.009881332297,0.2339163627,0.04224301448
6.3088,0.00972624237,0.2317687921,0.0419652805
6.3486,0.009574007212,0.2296409381,0.04169120406
6.3884,0.009424566816,0.2275326199,0.04142072825
6.4282,0.009277862339,0.225443658,0.04115379613
6.468,0.009133836077,0.2233738747,0.04089035072
6.5078,0.008992431452,0.2213230939,0.04063033501
6.5476,0.008853592995,0.2192911413,0.04037369199
6.5874,0.008717266327,0.2172778438,0.04012036466
6.6272,0.008583398151,0.2152830303,0.03987029604
6.667,0.008451936236,0.2133065311,0.03962342922
6.7068,0.008322829404,0.2113481779,0.03937970739
6.7466,0.008196027521,0.2094078043,0.03913907386
6.7864,0.008071481484,0.2074852451,0.03890147215
6.8262,0.007949143212,0.2055803368,0.03866684593
6.866,0.007828965631,0.2036929174,0.03843513918
6.9058,0.007710902668,0.2018228262,0.03820629615
6.9456,0.007594909239,0.1999699042,0.03798026143
6.9854,0.007480941238,0.1981339937,0.03775697999
7.0252,0.007368955525,0.1963149387,0.03753639725
7.065,0.007258909917,0.1945125842,0.03731845909
7.1048,0.007150763175,0.1927267771,0.0371031119
7.1446,0.007044474995,0.1909573653,0.03689030263
7.1844,0.006940005993,0.1892041984,0.03667997884
7.2242,0.006837317698,0.1874671272,0.03647208874
7.264,0.006736372532,0.1857460039,0.0362665812
7.3038,0.006637133806,0.1840406821,0.03606340582
7.3436,0.0065395657,0.1823510168,0.03586251294
7.3834,0.006443633256,0.1806768642,0.03566385373
7.4232,0.006349302359,0.1790180819,0.03546738013
7.463,0.006256539726,0.1773745287,0.03527304496
7.5028,0.006165312893,0.1757460649,0.03508080193
7.5426,0.006075590198,0.1741325519,0.03489060564
7.5824,0.005987340767,0.1725338525,0.03470241162
7.6222,0.005900534503,0.1709498306,0.03451617636
7.662,0.005815142065,0.1693803515,0.03433185734
7.7018,0.005731134859,0.1678252818,0.034149413
7.7416,0.005648485017,0.166284489,0.03396880282
7.7814,0.005567165387,0.1647578421,0.03378998727
7.8212,0.005487149512,0.1632452112,0.03361292788
7.861,0.005408411621,0.1617464678,0.03343758721
7.9008,0.005330926608,0.1602614842,0.03326392886
7.9406,0.005254670018,0.1587901341,0.0330919175
7.9804,0.005179618032,0.1573322924,0.03292151886
8.0202,0.005105747451,0.155887835,0.03275269972
8.06,0.00503303568,0.1544566391,0.03258542791
8.0998,0.004961460715,0.153038583,0.03241967234
8.1396,0.004891001123,0.1516335459,0.03225540296
8.1794,0.004821636031,0.1502414083,0.03209259075
8.2192,0.004753345106,0.1488620519,0.03193120776
8.259,0.004686108547,0.1474953593,0.03177122705
8.2988,0.004619907064,0.1461412141,0.03161262271
8.3386,0.004554721865,0.1447995013,0.03145536983
8.3784,0.004490534642,0.1434701067,0.0312994445
8.4182,0.004427327556,0.1421529171,0.03114482379
8.458,0.004365083225,0.1408478206,0.03099148575
8.4978,0.004303784707,0.1395547061,0.03083940934
8.5376,0.004243415488,0.1382734636,0.03068857449
