
========================================
  PARAMETER FITTING UTILITY
========================================
Basis size: 39 states
Loaded from basis_final.txt:
  E       = 0.05952 MeV
  R       = 9.05244 fm
  <T>     = 0.98660 MeV

Scanning parameter space:
  b_form:  1.00000 to 2.00000 (step 0.20000)
  b_range: 50.00000 to 150.00000 (step 25.00000)
  S:       0.00000 to 50.00000 (step 10.00000)
========================================

      b_form     b_range     S (MeV)       E (MeV)      R (fm)     <T> (MeV)        PN %    PN+pi %
      1.4000     75.0000     40.0000      -94.4627      1.6952       57.6238     83.6264     16.3736
      1.4000     75.0000     50.0000     -140.3769      1.6845       70.3607     79.4310     20.5690
      1.4000    100.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.4000    100.0000     10.0000       -1.5876      3.0964        6.2461     98.9265      1.0735
      1.4000    100.0000     20.0000      -20.9084      1.8872       25.6810     93.9751      6.0249
      1.4000    100.0000     30.0000      -53.7699      1.7257       42.6677     88.5645     11.4355
      1.4000    100.0000     40.0000      -94.5811      1.6954       57.6563     83.6143     16.3857
      1.4000    100.0000     50.0000     -140.5375      1.6846       70.3949     79.4184     20.5816
      1.4000    125.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.4000    125.0000     10.0000       -1.5916      3.0949        6.2522     98.9252      1.0748
      1.4000    125.0000     20.0000      -20.9269      1.8873       25.6901     93.9719      6.0281
      1.4000    125.0000     30.0000      -53.8057      1.7258       42.6805     88.5597     11.4403
      1.4000    125.0000     40.0000      -94.6359      1.6954       57.6714     83.6087     16.3913
      1.4000    125.0000     50.0000     -140.6119      1.6846       70.4107     79.4126     20.5874
      1.4000    150.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.4000    150.0000     10.0000       -1.5938      3.0941        6.2555     98.9244      1.0756
      1.4000    150.0000     20.0000      -20.9370      1.8873       25.6950     93.9701      6.0299
      1.4000    150.0000     30.0000      -53.8252      1.7259       42.6874     88.5571     11.4429
      1.4000    150.0000     40.0000      -94.6657      1.6954       57.6796     83.6056     16.3944
      1.4000    150.0000     50.0000     -140.6523      1.6846       70.4193     79.4094     20.5906
      1.6000     50.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.6000     50.0000     10.0000       -4.8838      2.5524       11.2602     97.7455      2.2545
      1.6000     50.0000     20.0000      -37.1558      1.7692       34.4284     90.8722      9.1278
      1.6000     50.0000     30.0000      -85.6094      1.7015       53.6685     84.2793     15.7207
      1.6000     50.0000     40.0000     -142.9457      1.6861       69.3648     78.8779     21.1221
      1.6000     50.0000     50.0000     -205.5447      1.6791       81.7284     74.6745     25.3255
      1.6000     75.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.6000     75.0000     10.0000       -4.9302      2.5505       11.3051     97.7330      2.2670
      1.6000     75.0000     20.0000      -37.3259      1.7698       34.4960     90.8461      9.1539
      1.6000     75.0000     30.0000      -85.9246      1.7019       53.7577     84.2452     15.7548
      1.6000     75.0000     40.0000     -143.4133      1.6864       69.4606     78.8420     21.1580
      1.6000     75.0000     50.0000     -206.1654      1.6793       81.8221     74.6397     25.3603
      1.6000    100.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.6000    100.0000     10.0000       -4.9465      2.5498       11.3209     97.7287      2.2713
      1.6000    100.0000     20.0000      -37.3856      1.7700       34.5196     90.8369      9.1631
      1.6000    100.0000     30.0000      -86.0353      1.7021       53.7890     84.2333     15.7667
      1.6000    100.0000     40.0000     -143.5775      1.6865       69.4941     78.8294     21.1706
      1.6000    100.0000     50.0000     -206.3832      1.6793       81.8549     74.6275     25.3725
      1.6000    125.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.6000    125.0000     10.0000       -4.9541      2.5495       11.3282     97.7266      2.2734
      1.6000    125.0000     20.0000      -37.4133      1.7701       34.5306     90.8327      9.1673
      1.6000    125.0000     30.0000      -86.0865      1.7021       53.8035     84.2277     15.7723
      1.6000    125.0000     40.0000     -143.6535      1.6865       69.5096     78.8235     21.1765
      1.6000    125.0000     50.0000     -206.4841      1.6794       81.8701     74.6219     25.3781
      1.6000    150.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.6000    150.0000     10.0000       -4.9582      2.5494       11.3321     97.7255      2.2745
      1.6000    150.0000     20.0000      -37.4283      1.7702       34.5366     90.8304      9.1696
      1.6000    150.0000     30.0000      -86.1144      1.7022       53.8114     84.2247     15.7753
      1.6000    150.0000     40.0000     -143.6949      1.6865       69.5180     78.8204     21.1796
      1.6000    150.0000     50.0000     -206.5390      1.6794       81.8784     74.6188     25.3812
      1.8000     50.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.8000     50.0000     10.0000       -9.2886      2.2319       16.1061     96.4009      3.5991
      1.8000     50.0000     20.0000      -54.5817      1.7312       41.6398     87.9737     12.0263
      1.8000     50.0000     30.0000     -117.9220      1.6942       61.9460     80.7041     19.2959
      1.8000     50.0000     40.0000     -190.4438      1.6836       77.3150     75.2521     24.7479
      1.8000     50.0000     50.0000     -268.0363      1.6779       88.7847     71.2484     28.7516
      1.8000     75.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.8000     75.0000     10.0000       -9.3572      2.2309       16.1540     96.3852      3.6148
      1.8000     75.0000     20.0000      -54.8069      1.7318       41.7164     87.9433     12.0567
      1.8000     75.0000     30.0000     -118.3257      1.6945       62.0385     80.6684     19.3316
      1.8000     75.0000     40.0000     -191.0297      1.6838       77.4078     75.2171     24.7829
      1.8000     75.0000     50.0000     -268.8030      1.6781       88.8716     71.2160     28.7840
      1.8000    100.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.8000    100.0000     10.0000       -9.3813      2.2306       16.1708     96.3797      3.6203
      1.8000    100.0000     20.0000      -54.8860      1.7320       41.7433     87.9326     12.0674
      1.8000    100.0000     30.0000     -118.4674      1.6946       62.0710     80.6559     19.3441
      1.8000    100.0000     40.0000     -191.2353      1.6839       77.4402     75.2049     24.7951
      1.8000    100.0000     50.0000     -269.0720      1.6782       88.9021     71.2047     28.7953
      1.8000    125.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.8000    125.0000     10.0000       -9.3925      2.2304       16.1786     96.3772      3.6228
      1.8000    125.0000     20.0000      -54.9227      1.7321       41.7557     87.9277     12.0723
      1.8000    125.0000     30.0000     -118.5331      1.6947       62.0860     80.6501     19.3499
      1.8000    125.0000     40.0000     -191.3306      1.6840       77.4553     75.1992     24.8008
      1.8000    125.0000     50.0000     -269.1967      1.6782       88.9162     71.1995     28.8005
      1.8000    150.0000      0.0000        0.2116     10.8084        0.2116    100.0000      0.0000
      1.8000    150.0000     10.0000       -9.3985      2.2303       16.1828     96.3758      3.6242
      1.8000    150.0000     20.0000      -54.9426      1.7322       41.7625     87.9250     12.0750
      1.8000    150.0000     30.0000     -118.5688      1.6947       62.0942     80.6470     19.3530
      1.8000    150.0000     40.0000     -191.3824      1.6840       77.4634     75.1961     24.8039
