# S [MeV]   b [fm]   E0 [MeV]
15.263158  1.242105  0.466388
15.263158  1.263158  -0.192599
15.263158  1.284211  -0.926966
15.263158  1.305263  -1.743441
15.263158  1.326316  -2.648835
15.263158  1.347368  -3.649906
15.263158  1.368421  -4.753214
15.263158  1.389474  -5.964977
15.263158  1.410526  -7.290946
15.263158  1.431579  -8.736301
15.263158  1.452632  -10.305570
15.263158  1.473684  -12.002595
15.263158  1.494737  -13.830517
15.263158  1.515789  -15.791791
15.263158  1.536842  -17.888221
15.263158  1.557895  -20.121003
15.263158  1.578947  -22.490778
15.263158  1.600000  -24.997686

15.789474  1.200000  1.271853
15.789474  1.221053  0.697841
15.789474  1.242105  0.055216
15.789474  1.263158  -0.662780
15.789474  1.284211  -1.463164
15.789474  1.305263  -2.353090
15.789474  1.326316  -3.339712
15.789474  1.347368  -4.430032
15.789474  1.368421  -5.630742
15.789474  1.389474  -6.948082
15.789474  1.410526  -8.387716
15.789474  1.431579  -9.954649
15.789474  1.452632  -11.653163
15.789474  1.473684  -13.486805
15.789474  1.494737  -15.458391
15.789474  1.515789  -17.570039
15.789474  1.536842  -19.823216
15.789474  1.557895  -22.218790
15.789474  1.578947  -24.757086
15.789474  1.600000  -27.437941

16.315789  1.200000  0.943888
16.315789  1.221053  0.320763
16.315789  1.242105  -0.377276
16.315789  1.263158  -1.157499
16.315789  1.284211  -2.027381
16.315789  1.305263  -2.994457
16.315789  1.326316  -4.066170
16.315789  1.347368  -5.249696
16.315789  1.368421  -6.551786
16.315789  1.389474  -7.978632
16.315789  1.410526  -9.535751
16.315789  1.431579  -11.227918
16.315789  1.452632  -13.059137
16.315789  1.473684  -15.032634
16.315789  1.494737  -17.150894
16.315789  1.515789  -19.415697
16.315789  1.536842  -21.828182
16.315789  1.557895  -24.388896
16.315789  1.578947  -27.097861
16.315789  1.600000  -29.954621

16.842105  1.200000  0.599764
16.842105  1.221053  -0.075134
16.842105  1.242105  -0.831535
16.842105  1.263158  -1.677198
16.842105  1.284211  -2.620019
16.842105  1.305263  -3.667867
16.842105  1.326316  -4.828406
16.842105  1.347368  -6.108917
16.842105  1.368421  -7.516146
16.842105  1.389474  -9.056166
16.842105  1.410526  -10.734294
16.842105  1.431579  -12.555042
16.842105  1.452632  -14.522104
16.842105  1.473684  -16.638379
16.842105  1.494737  -18.906015
16.842105  1.515789  -21.326461
16.842105  1.536842  -23.900535
16.842105  1.557895  -26.628479
16.842105  1.578947  -29.510018
16.842105  1.600000  -32.544417

17.368421  1.200000  0.239108
17.368421  1.221053  -0.490250
17.368421  1.242105  -1.307965
17.368421  1.263158  -2.222259
17.368421  1.284211  -3.241404
17.368421  1.305263  -4.373544
17.368421  1.326316  -5.626497
17.368421  1.347368  -7.007586
17.368421  1.368421  -8.523478
17.368421  1.389474  -10.180079
17.368421  1.410526  -11.982462
17.368421  1.431579  -13.934843
17.368421  1.452632  -16.040595
17.368421  1.473684  -18.302284
17.368421  1.494737  -20.721725
17.368421  1.515789  -23.300045
17.368421  1.536842  -26.037751
17.368421  1.557895  -28.934786
17.368421  1.578947  -31.990594
17.368421  1.600000  -35.204166

17.894737  1.200000  -0.138431
17.894737  1.221053  -0.924951
17.894737  1.242105  -1.806927
17.894737  1.263158  -2.793004
17.894737  1.284211  -3.891781
17.894737  1.305263  -5.111613
17.894737  1.326316  -6.460411
17.894737  1.347368  -7.945468
17.894737  1.368421  -9.573320
17.894737  1.389474  -11.349654
17.894737  1.410526  -13.279268
17.894737  1.431579  -15.366066
17.894737  1.452632  -17.613090
17.894737  1.473684  -20.022573
17.894737  1.494737  -22.596007
17.894737  1.515789  -25.334205
17.894737  1.536842  -28.237371
17.894737  1.557895  -31.305164
17.894737  1.578947  -34.536749
17.894737  1.600000  -37.930852

18.421053  1.200000  -0.533186
18.421053  1.221053  -1.379572
18.421053  1.242105  -2.328731
18.421053  1.263158  -3.389687
18.421053  1.284211  -4.571311
18.421053  1.305263  -5.882106
18.421053  1.326316  -7.330008
18.421053  1.347368  -8.922221
18.421053  1.368421  -10.665099
18.421053  1.389474  -12.564075
18.421053  1.410526  -14.623649
18.421053  1.431579  -16.847399
