# S [MeV]   b [fm]   E0 [MeV]
15.263158  1.431579  5.000000
15.263158  1.452632  5.000000
15.263158  1.473684  5.000000
15.263158  1.494737  5.000000
15.263158  1.515789  5.000000
15.263158  1.536842  5.000000
15.263158  1.557895  4.920929
15.263158  1.578947  4.827338
15.263158  1.600000  4.724775

15.789474  1.200000  5.000000
15.789474  1.221053  5.000000
15.789474  1.242105  5.000000
15.789474  1.263158  5.000000
15.789474  1.284211  5.000000
15.789474  1.305263  5.000000
15.789474  1.326316  5.000000
15.789474  1.347368  5.000000
15.789474  1.368421  5.000000
15.789474  1.389474  5.000000
15.789474  1.410526  5.000000
15.789474  1.431579  5.000000
15.789474  1.452632  5.000000
15.789474  1.473684  5.000000
15.789474  1.494737  5.000000
15.789474  1.515789  5.000000
15.789474  1.536842  4.940900
15.789474  1.557895  4.847709
15.789474  1.578947  4.745464
15.789474  1.600000  4.633143

16.315789  1.200000  5.000000
16.315789  1.221053  5.000000
16.315789  1.242105  5.000000
16.315789  1.263158  5.000000
16.315789  1.284211  5.000000
16.315789  1.305263  5.000000
16.315789  1.326316  5.000000
16.315789  1.347368  5.000000
16.315789  1.368421  5.000000
16.315789  1.389474  5.000000
16.315789  1.410526  5.000000
16.315789  1.431579  5.000000
16.315789  1.452632  5.000000
16.315789  1.473684  5.000000
16.315789  1.494737  5.000000
16.315789  1.515789  4.964319
16.315789  1.536842  4.871957
16.315789  1.557895  4.770506
16.315789  1.578947  4.658938
16.315789  1.600000  4.536055

16.842105  1.200000  5.000000
16.842105  1.221053  5.000000
16.842105  1.242105  5.000000
16.842105  1.263158  5.000000
16.842105  1.284211  5.000000
16.842105  1.305263  5.000000
16.842105  1.326316  5.000000
16.842105  1.347368  5.000000
16.842105  1.368421  5.000000
16.842105  1.389474  5.000000
16.842105  1.410526  5.000000
16.842105  1.431579  5.000000
16.842105  1.452632  5.000000
16.842105  1.473684  5.000000
16.842105  1.494737  4.990780
16.842105  1.515789  4.899643
16.842105  1.536842  4.799430
16.842105  1.557895  4.689112
16.842105  1.578947  4.567492
16.842105  1.600000  4.433165

17.368421  1.200000  5.000000
17.368421  1.221053  5.000000
17.368421  1.242105  5.000000
17.368421  1.263158  5.000000
17.368421  1.284211  5.000000
17.368421  1.305263  5.000000
17.368421  1.326316  5.000000
17.368421  1.347368  5.000000
17.368421  1.368421  5.000000
17.368421  1.389474  5.000000
17.368421  1.410526  5.000000
17.368421  1.431579  5.000000
17.368421  1.452632  5.000000
17.368421  1.473684  5.000000
17.368421  1.494737  4.930322
17.368421  1.515789  4.831752
17.368421  1.536842  4.723141
17.368421  1.557895  4.603298
17.368421  1.578947  4.470830
17.368421  1.600000  4.324090

17.894737  1.200000  5.000000
17.894737  1.221053  5.000000
17.894737  1.242105  5.000000
17.894737  1.263158  5.000000
17.894737  1.284211  5.000000
17.894737  1.305263  5.000000
17.894737  1.326316  5.000000
17.894737  1.347368  5.000000
17.894737  1.368421  5.000000
17.894737  1.389474  5.000000
17.894737  1.410526  5.000000
17.894737  1.431579  5.000000
17.894737  1.452632  5.000000
17.894737  1.473684  4.963550
17.894737  1.494737  4.866993
17.894737  1.515789  4.760499
17.894737  1.536842  4.642898
17.894737  1.557895  4.512815
17.894737  1.578947  4.368627
17.894737  1.600000  4.208408

18.421053  1.200000  5.000000
18.421053  1.221053  5.000000
18.421053  1.242105  5.000000
18.421053  1.263158  5.000000
18.421053  1.284211  5.000000
18.421053  1.305263  5.000000
18.421053  1.326316  5.000000
18.421053  1.347368  5.000000
18.421053  1.368421  5.000000
18.421053  1.389474  5.000000
18.421053  1.410526  5.000000
18.421053  1.431579  5.000000
18.421053  1.452632  4.998892
